utterance,encoded_intent,labels
can ya help me canceling purchase 370795561790,0,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
want help cancelling purchase 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
question about canceling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i cant pay for htis item help me cancel purchase 00123842,0,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1]"
i can no longer pay for order 00123842 ohw could i cancel it,0,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
i have a problem with canceling order 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
I want assistance to cancel purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I do not know how to cancel purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
need assistance to cancel order 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
I want help cacnelling purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
how do i cancel order 00004587345,0,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
need assistance to cancel purchase 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i want assistance canceling order 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"I have ordered some products, cancel purchase 732201349959",0,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]"
i have a question about canceling order 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"I do not want this item, help to cancel order 732201349959",0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
cancel purhase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
cancel order 370795561790,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
want assistance cancelling purchase 113542617735902,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
want assistance canceling purchase 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I have problems with cancelling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
can you help me cancel purchase 00004587345?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I need help canceling purchase 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i bought some item where to cancel oredr 113542617735902,0,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
i do not know how i could cancel order 00123842,0,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
I need help ot cancel purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
help me to cancel purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
order cancelation,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
cancel purchase 00123842,0,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
can you help me canceling purchase 00123842?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
assistance with canceling purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I can no longer afford order 00004587345, could I cancel it?",0,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
I don't know how to cancel purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I can't pay for purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
quedstion about cancelling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
canceling order,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
i have problems with canceling order 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
I need help to cancel purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need help to cancel order 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
I don't know how I could cancel purchase 370795561790,0,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where can i cancfel order 00004587345,0,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
where can i cancfel order 113542617735902,0,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
can uhelp me cancelling purchase 113542617735902,0,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
cancelling order732201349959,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
I can no longer pay for purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
cancelling purchase 370795561790,0,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
i have a problem with cancelling purchase  00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
could uhlep me to cancel purchase 732201349959,0,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
want help canceling purchase 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
canceling order 370795561790,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
is it possible to cancel order 370795561790?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
assistance with canceling order 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
I want help cancelling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i do not know how i could cancel order 00004587345,0,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
what do I need to do to cancel purchase 370795561790?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
i dont want the last damn purchase i made can i cancel it,0,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0]"
hw can i cancel purchase 113542617735902,0,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
"I cannot afford this item, cancel order 113542617735902",0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
"I have bought some articles, cancel order 370795561790",0,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]"
have a problem with cancelling purchase 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me to cancel purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me cancelling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
canceling order 00004587345,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
canceling purchase 00123842,0,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
how could I cancel purchase 00004587345?,0,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I do not know how to cancel purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
assistance with cancelling order 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
help me canceling order 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
assistance canceling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
assistance cancelling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
cancel purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
awnt assistance canceling order 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
assistance with cancelling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
problems with cancelling order 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
I do not know how I can cancel order 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
cancelling order 00004587345,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
I do not know how I can cancel purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
want help casnceling purchase 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
i dont know what to do to cancel order 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
need assistance to cancel order 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
cancelling order 113542617735902,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
i have got to cancel purchase 113542617735902,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
problems with canceling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
need assistance with cancelling purchase 113542617735902,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i no longer want order 00123842 could uhelp me cancel it,0,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
i need help canceling purchase 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I need help with canceling purchase 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I don't know how to cancel purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i have a question about canceling order 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
problems with cancelling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
can you help me cancel purchase 00123842?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I want help canceling puurchase 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
cancel purhase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
have a problem with canceling order 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
cancel purhase 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
need assistance canceling order 113542617735902,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
cancelling purchase 732201349959,0,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
I need help with canceling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need help with canceling purchase 113542617735902,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I want help to cancel purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
problems with canceling purchase 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i do not want thisgoddamn item i wanna cancel order 00123842,0,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]"
"I purchased something, cancel order 00004587345",0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
I need to cancel purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I don't know how to cancel purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
how could I cancel purchase 732201349959?,0,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
i need help with cacneling purchase 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
help me canceling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have purchased something, help me cancel the second order",0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
cancelling order 00123842,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
i do not know how to cancel purchase 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
cancelling order,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
can you help me canceling purchase 00004587345 ?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
canceling purchase 00004587345,0,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
assistance to cancel order 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
i dont want my last purchase cancel order 732201349959,0,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
quesdtion about canceling purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
need assistance with cancelling order 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
i ordered some product cancel purchase 370795561790,0,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
I don'twant order 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
problem with cancelling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i have a question about canceling order 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
i dont know how i can cancel purchase 113542617735902,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i do not know how to cancel order 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
I do not want purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
cancel order 00004587345,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
i want assistance canceloing purchase 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
I want help to cancel purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
want assistance to cancel order 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
can you help me cancelling order 732201349959?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
cancel order 00123842,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
I need assistance cancelling purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
need help to cancelp order 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
cancel order 732201349959,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
I have got to cancel purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need help tocancel order 00004587345,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
assistance cancelling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me canceling purchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where do I cancel purchase 00004587345?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I want assistance to cancel order 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
order cancellation,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
i try to cancel purchase 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me to cancel order 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
need assistance canceling order 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
I want assistance to cancel purchase 370795561790,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
canceling order 00123842,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
help me canceling purchase 00123842,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
need to cancel order 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
where can i cancel purchase 00004587345,0,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I have to cancel order 00004587345,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
i need assistance to cancel purchase 732201349959,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I need help canceling purchase 732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I cannot afford this item, can I cancel order 00004587345?",0,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0]"
cancel order 113542617735902,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
acnceling order 00123842,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
cancel order  732201349959,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
i dont know how to cancel order 00123842,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
i need help to cancel order 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
need assistance cancelling purchase 370795561790,0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where can I cancel purchase 370795561790?,0,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I need help cancelingpurchase 113542617735902,0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
need help to delete several items from order 370795561790,1,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
can  i swap some items of order 732201349959,1,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]"
I want help to update purchase 00004587345,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
change order 00123842,1,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
"I would like to modify order 113542617735902, I need help",1,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
can i edit order 732201349959,1,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I can't switch several products of order 00123842,1,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
"I need to swap something of purchase 00123842, how to do it?",1,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
I need help to swap some items of purchase 370795561790,1,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
want assistance deleting  some items from order 370795561790,1,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
help switching something of purchase 370795561790,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i cant remove several items from purchase 00004587345,1,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
correcting order 732201349959,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I don't know what to do to swap an item of order 00123842,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I want to edit purchase 00123842, could you help me?",1,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
add something to order 370795561790,1,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
updating order 732201349959,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
add some items to order 732201349959,1,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
I cannot add an articld to order 370795561790,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1]"
I have problems with editing order 732201349959,1,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
add something to order 00123842,1,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
could you help me change something of order 370795561790?,1,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
how to delete something from order 00004587345?,1,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
how to edit order 370795561790,1,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
