utterance,intent,entity_type,entity_value,start_offset,end_offset,category,tags
i want help cancelling purchase 732201349959,cancel_order,order_id,732201349959,32.0,44.0,ORDER,BLQ
i want help canceling purchase 00004587345,cancel_order,order_id,00004587345,31.0,42.0,ORDER,BLQ
canceling order 732201349959,cancel_order,order_id,732201349959,16.0,28.0,ORDER,BK
I need help with cancdling purchase 00004587345,cancel_order,order_id,00004587345,36.0,47.0,ORDER,BLZ
i want help to cancel purchase  113542617735902,cancel_order,order_id,113542617735902,32.0,47.0,ORDER,BLQZ
canceling order 113542617735902,cancel_order,order_id,113542617735902,16.0,31.0,ORDER,BK
I need assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,38.0,50.0,ORDER,BL
i want assistance canceloing purchase 00123842,cancel_order,order_id,00123842,38.0,46.0,ORDER,BLQZ
want assistnace to cancel order 370795561790,cancel_order,order_id,370795561790,32.0,44.0,ORDER,BQZ
I would like to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,32.0,47.0,ORDER,BLP
cancel ordedr 370795561790,cancel_order,order_id,370795561790,14.0,26.0,ORDER,BKZ
cancel purchase 370795561790,cancel_order,order_id,370795561790,16.0,28.0,ORDER,BKL
"I want to cancel purchase 00123842, how could I do it?",cancel_order,order_id,00123842,26.0,34.0,ORDER,BCILP
I need assistance canceling purchase 732201349959,cancel_order,order_id,732201349959,37.0,49.0,ORDER,BL
i need assistance canceling order 00123842,cancel_order,order_id,00123842,34.0,42.0,ORDER,BQ
cancelo purchase 370795561790,cancel_order,order_id,370795561790,17.0,29.0,ORDER,BKLZ
question about canceling purchase 00004587345,cancel_order,order_id,00004587345,34.0,45.0,ORDER,BL
where can I cancel purchase 00123842?,cancel_order,order_id,00123842,28.0,36.0,ORDER,BIL
problems with canceling purchase 113542617735902,cancel_order,order_id,113542617735902,33.0,48.0,ORDER,BLM
I don't want order 113542617735902,cancel_order,order_id,113542617735902,19.0,34.0,ORDER,BN
I can no longer afford order 732201349959,cancel_order,order_id,732201349959,29.0,41.0,ORDER,BLN
where can I cancel purchase 113542617735902?,cancel_order,order_id,113542617735902,28.0,43.0,ORDER,BIL
help to cancel purchase 732201349959,cancel_order,order_id,732201349959,24.0,36.0,ORDER,BL
i have problems with cancelling purchase 00123842,cancel_order,order_id,00123842,41.0,49.0,ORDER,BLMQ
where can I cancel order 732201349959 ?,cancel_order,order_id,732201349959,25.0,37.0,ORDER,BIZ
I need assistance with cancelling purchase 00123842,cancel_order,order_id,00123842,43.0,51.0,ORDER,BL
I have problems with cancelling purchase 00123842,cancel_order,order_id,00123842,41.0,49.0,ORDER,BLM
can uhlep me cancelling purchase 732201349959,cancel_order,order_id,732201349959,33.0,45.0,ORDER,BILQZ
where could  i cancel purchase 370795561790,cancel_order,order_id,370795561790,31.0,43.0,ORDER,BILPQZ
could you help me cancelling purchase 732201349959?,cancel_order,order_id,732201349959,38.0,50.0,ORDER,BILP
I have a problem with cancelling order 00123842,cancel_order,order_id,00123842,39.0,47.0,ORDER,B
question about cancelling purchase 732201349959,cancel_order,order_id,732201349959,35.0,47.0,ORDER,BL
I do not know what to do to cancel order 113542617735902,cancel_order,order_id,113542617735902,41.0,56.0,ORDER,BE
want assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,ORDER,BLQ
i need assistance with canceling puchase 00004587345,cancel_order,order_id,00004587345,41.0,52.0,ORDER,BLQZ
i dont want this article cancel order 732201349959,cancel_order,order_id,732201349959,38.0,50.0,ORDER,BCLNQ
i dont want order 732201349959 i need help canceling it,cancel_order,order_id,732201349959,18.0,30.0,ORDER,BCNQ
I need help cancelling order 370795561790,cancel_order,order_id,370795561790,29.0,41.0,ORDER,B
i ordered some article how do i cancel purchase 00004587345,cancel_order,order_id,00004587345,48.0,59.0,ORDER,BCILQ
help with cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,30.0,45.0,ORDER,BL
i can no longer afford order 732201349959,cancel_order,order_id,732201349959,29.0,41.0,ORDER,BLNQ
I want assistance cfancelling purchase 370795561790,cancel_order,order_id,370795561790,39.0,51.0,ORDER,BLZ
where to cancel purchase 00004587345?,cancel_order,order_id,00004587345,25.0,36.0,ORDER,BIL
I don't know what to do to cancel purchase 00004587345,cancel_order,order_id,00004587345,43.0,54.0,ORDER,BL
cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,20.0,35.0,ORDER,BKL
could you help me cancel purchase 00004587345?,cancel_order,order_id,00004587345,34.0,45.0,ORDER,BILP
problems with cancelling order 00004587345,cancel_order,order_id,00004587345,31.0,42.0,ORDER,BM
what do I need to do to cancel purchase 113542617735902?,cancel_order,order_id,113542617735902,40.0,55.0,ORDER,BIL
what do I have to do to cancel purchase 00004587345?,cancel_order,order_id,00004587345,40.0,51.0,ORDER,BIL
I'mtrying to cancel purchase 00004587345,cancel_order,order_id,00004587345,29.0,40.0,ORDER,BLQZ
need assistance cancelling purchase 00123842,cancel_order,order_id,00123842,36.0,44.0,ORDER,BLQ
I can no longer afford order 113542617735902,cancel_order,order_id,113542617735902,29.0,44.0,ORDER,BLN
assistance to cancel purchase 370795561790,cancel_order,order_id,370795561790,30.0,42.0,ORDER,BL
have a question about cancelling order 00004587345,cancel_order,order_id,00004587345,39.0,50.0,ORDER,BQ
can ya help me canceling purchase 370795561790,cancel_order,order_id,370795561790,34.0,46.0,ORDER,BILQ
want help cancelling purchase 732201349959,cancel_order,order_id,732201349959,30.0,42.0,ORDER,BLQ
question about canceling purchase 370795561790,cancel_order,order_id,370795561790,34.0,46.0,ORDER,BL
i cant pay for htis item help me cancel purchase 00123842,cancel_order,order_id,00123842,49.0,57.0,ORDER,BCLNQZ
i can no longer pay for order 00123842 ohw could i cancel it,cancel_order,order_id,00123842,30.0,38.0,ORDER,BCILNPQZ
i have a problem with canceling order 370795561790,cancel_order,order_id,370795561790,38.0,50.0,ORDER,BQ
I want assistance to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,37.0,52.0,ORDER,BL
I do not know how to cancel purchase 370795561790,cancel_order,order_id,370795561790,37.0,49.0,ORDER,BEL
need assistance to cancel order 732201349959,cancel_order,order_id,732201349959,32.0,44.0,ORDER,BQ
I want help cacnelling purchase 113542617735902,cancel_order,order_id,113542617735902,32.0,47.0,ORDER,BLZ
how do i cancel order 00004587345,cancel_order,order_id,00004587345,22.0,33.0,ORDER,BIQ
need assistance to cancel purchase 00123842,cancel_order,order_id,00123842,35.0,43.0,ORDER,BLQ
i want assistance canceling order 370795561790,cancel_order,order_id,370795561790,34.0,46.0,ORDER,BQ
"I have ordered some products, cancel purchase 732201349959",cancel_order,order_id,732201349959,46.0,58.0,ORDER,BCELM
i have a question about canceling order 00004587345,cancel_order,order_id,00004587345,40.0,51.0,ORDER,BQ
"I do not want this item, help to cancel order 732201349959",cancel_order,order_id,732201349959,46.0,58.0,ORDER,BCELN
cancel purhase 370795561790,cancel_order,order_id,370795561790,15.0,27.0,ORDER,BLZ
cancel order 370795561790,cancel_order,order_id,370795561790,13.0,25.0,ORDER,BK
want assistance cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,36.0,51.0,ORDER,BLQ
want assistance canceling purchase 00123842,cancel_order,order_id,00123842,35.0,43.0,ORDER,BLQ
I have problems with cancelling purchase 370795561790,cancel_order,order_id,370795561790,41.0,53.0,ORDER,BLM
can you help me cancel purchase 00004587345?,cancel_order,order_id,00004587345,32.0,43.0,ORDER,BIL
I need help canceling purchase 00004587345,cancel_order,order_id,00004587345,31.0,42.0,ORDER,BL
i bought some item where to cancel oredr 113542617735902,cancel_order,order_id,113542617735902,41.0,56.0,ORDER,BCILQZ
i do not know how i could cancel order 00123842,cancel_order,order_id,00123842,39.0,47.0,ORDER,BEPQ
I need help ot cancel purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,ORDER,BLZ
help me to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,27.0,42.0,ORDER,BL
order cancelation,cancel_order,,,,,ORDER,BK
cancel purchase 00123842,cancel_order,order_id,00123842,16.0,24.0,ORDER,BKL
can you help me canceling purchase 00123842?,cancel_order,order_id,00123842,35.0,43.0,ORDER,BIL
assistance with canceling purchase 113542617735902,cancel_order,order_id,113542617735902,35.0,50.0,ORDER,BL
"I can no longer afford order 00004587345, could I cancel it?",cancel_order,order_id,00004587345,29.0,40.0,ORDER,BCILNP
I don't know how to cancel purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,ORDER,BL
I can't pay for purchase 732201349959,cancel_order,order_id,732201349959,25.0,37.0,ORDER,BLN
quedstion about cancelling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,ORDER,BLZ
canceling order,cancel_order,,,,,ORDER,BK
i have problems with canceling order 00123842,cancel_order,order_id,00123842,37.0,45.0,ORDER,BMQ
I need help to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,31.0,46.0,ORDER,BL
i need help to cancel order 00004587345,cancel_order,order_id,00004587345,28.0,39.0,ORDER,BQ
I don't know how I could cancel purchase 370795561790,cancel_order,order_id,370795561790,41.0,53.0,ORDER,BLP
where can i cancfel order 00004587345,cancel_order,order_id,00004587345,26.0,37.0,ORDER,BIQZ
where can i cancfel order 113542617735902,cancel_order,order_id,113542617735902,26.0,41.0,ORDER,BIQZ
can uhelp me cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,33.0,48.0,ORDER,BILQ
cancelling order732201349959,cancel_order,order_id,732201349959,16.0,28.0,ORDER,BKZ
I can no longer pay for purchase 113542617735902,cancel_order,order_id,113542617735902,33.0,48.0,ORDER,BLN
cancelling purchase 370795561790,cancel_order,order_id,370795561790,20.0,32.0,ORDER,BKL
i have a problem with cancelling purchase  00004587345,cancel_order,order_id,00004587345,43.0,54.0,ORDER,BLQZ
could uhlep me to cancel purchase 732201349959,cancel_order,order_id,732201349959,34.0,46.0,ORDER,BILPQZ
want help canceling purchase 370795561790,cancel_order,order_id,370795561790,29.0,41.0,ORDER,BLQ
canceling order 370795561790,cancel_order,order_id,370795561790,16.0,28.0,ORDER,BK
is it possible to cancel order 370795561790?,cancel_order,order_id,370795561790,31.0,43.0,ORDER,BI
assistance with canceling order 00004587345,cancel_order,order_id,00004587345,32.0,43.0,ORDER,B
I want help cancelling purchase 732201349959,cancel_order,order_id,732201349959,32.0,44.0,ORDER,BL
i do not know how i could cancel order 00004587345,cancel_order,order_id,00004587345,39.0,50.0,ORDER,BEPQ
what do I need to do to cancel purchase 370795561790?,cancel_order,order_id,370795561790,40.0,52.0,ORDER,BIL
i dont want the last damn purchase i made can i cancel it,cancel_order,,,,,ORDER,BCILNQW
hw can i cancel purchase 113542617735902,cancel_order,order_id,113542617735902,25.0,40.0,ORDER,BILQZ
"I cannot afford this item, cancel order 113542617735902",cancel_order,order_id,113542617735902,40.0,55.0,ORDER,BCELN
"I have bought some articles, cancel order 370795561790",cancel_order,order_id,370795561790,42.0,54.0,ORDER,BCELM
have a problem with cancelling purchase 732201349959,cancel_order,order_id,732201349959,40.0,52.0,ORDER,BLQ
help me to cancel purchase 370795561790,cancel_order,order_id,370795561790,27.0,39.0,ORDER,BL
help me cancelling purchase 370795561790,cancel_order,order_id,370795561790,28.0,40.0,ORDER,BL
canceling order 00004587345,cancel_order,order_id,00004587345,16.0,27.0,ORDER,BK
canceling purchase 00123842,cancel_order,order_id,00123842,19.0,27.0,ORDER,BKL
how could I cancel purchase 00004587345?,cancel_order,order_id,00004587345,28.0,39.0,ORDER,BILP
I do not know how to cancel purchase 732201349959,cancel_order,order_id,732201349959,37.0,49.0,ORDER,BEL
assistance with cancelling order 370795561790,cancel_order,order_id,370795561790,33.0,45.0,ORDER,B
help me canceling order 00004587345,cancel_order,order_id,00004587345,24.0,35.0,ORDER,B
assistance canceling purchase 370795561790,cancel_order,order_id,370795561790,30.0,42.0,ORDER,BL
assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,31.0,43.0,ORDER,BL
cancel purchase 113542617735902,cancel_order,order_id,113542617735902,16.0,31.0,ORDER,BL
awnt assistance canceling order 00004587345,cancel_order,order_id,00004587345,32.0,43.0,ORDER,BQZ
assistance with cancelling purchase 732201349959,cancel_order,order_id,732201349959,36.0,48.0,ORDER,BL
problems with cancelling order 370795561790,cancel_order,order_id,370795561790,31.0,43.0,ORDER,BM
I do not know how I can cancel order 00123842,cancel_order,order_id,00123842,37.0,45.0,ORDER,BE
cancelling order 00004587345,cancel_order,order_id,00004587345,17.0,28.0,ORDER,BK
I do not know how I can cancel purchase 732201349959,cancel_order,order_id,732201349959,40.0,52.0,ORDER,BEL
want help casnceling purchase 00123842,cancel_order,order_id,00123842,30.0,38.0,ORDER,BLQZ
i dont know what to do to cancel order 00004587345,cancel_order,order_id,00004587345,39.0,50.0,ORDER,BQ
need assistance to cancel order 00004587345,cancel_order,order_id,00004587345,32.0,43.0,ORDER,BQ
cancelling order 113542617735902,cancel_order,order_id,113542617735902,17.0,32.0,ORDER,BK
i have got to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,30.0,45.0,ORDER,BLQ
problems with canceling purchase 370795561790,cancel_order,order_id,370795561790,33.0,45.0,ORDER,BLM
need assistance with cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,41.0,56.0,ORDER,BLQ
i no longer want order 00123842 could uhelp me cancel it,cancel_order,order_id,00123842,23.0,31.0,ORDER,BCILNPQ
i need help canceling purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,ORDER,BLQ
I need help with canceling purchase 00004587345,cancel_order,order_id,00004587345,36.0,47.0,ORDER,BL
I don't know how to cancel purchase 732201349959,cancel_order,order_id,732201349959,36.0,48.0,ORDER,BL
i have a question about canceling order 00123842,cancel_order,order_id,00123842,40.0,48.0,ORDER,BQ
problems with cancelling purchase 732201349959,cancel_order,order_id,732201349959,34.0,46.0,ORDER,BLM
can you help me cancel purchase 00123842?,cancel_order,order_id,00123842,32.0,40.0,ORDER,BIL
I want help canceling puurchase 00004587345,cancel_order,order_id,00004587345,32.0,43.0,ORDER,BLZ
cancel purhase 732201349959,cancel_order,order_id,732201349959,15.0,27.0,ORDER,BLZ
have a problem with canceling order 732201349959,cancel_order,order_id,732201349959,36.0,48.0,ORDER,BQ
cancel purhase 00123842,cancel_order,order_id,00123842,15.0,23.0,ORDER,BLZ
need assistance canceling order 113542617735902,cancel_order,order_id,113542617735902,32.0,47.0,ORDER,BQ
cancelling purchase 732201349959,cancel_order,order_id,732201349959,20.0,32.0,ORDER,BKL
I need help with canceling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,ORDER,BL
i need help with canceling purchase 113542617735902,cancel_order,order_id,113542617735902,36.0,51.0,ORDER,BLQ
I want help to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,31.0,46.0,ORDER,BL
problems with canceling purchase 00004587345,cancel_order,order_id,00004587345,33.0,44.0,ORDER,BLM
i do not want thisgoddamn item i wanna cancel order 00123842,cancel_order,order_id,00123842,52.0,60.0,ORDER,BCELNQWZ
"I purchased something, cancel order 00004587345",cancel_order,order_id,00004587345,36.0,47.0,ORDER,BCL
I need to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,26.0,41.0,ORDER,BL
I don't know how to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,36.0,51.0,ORDER,BL
how could I cancel purchase 732201349959?,cancel_order,order_id,732201349959,28.0,40.0,ORDER,BILP
i need help with cacneling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,ORDER,BLQZ
help me canceling purchase 732201349959,cancel_order,order_id,732201349959,27.0,39.0,ORDER,BL
"I have purchased something, help me cancel the second order",cancel_order,,,,,ORDER,BCEL
cancelling order 00123842,cancel_order,order_id,00123842,17.0,25.0,ORDER,BK
i do not know how to cancel purchase 00123842,cancel_order,order_id,00123842,37.0,45.0,ORDER,BELQ
cancelling order,cancel_order,,,,,ORDER,BK
can you help me canceling purchase 00004587345 ?,cancel_order,order_id,00004587345,35.0,46.0,ORDER,BILZ
canceling purchase 00004587345,cancel_order,order_id,00004587345,19.0,30.0,ORDER,BKL
assistance to cancel order 00123842,cancel_order,order_id,00123842,27.0,35.0,ORDER,B
i dont want my last purchase cancel order 732201349959,cancel_order,order_id,732201349959,42.0,54.0,ORDER,BCNQ
quesdtion about canceling purchase 370795561790,cancel_order,order_id,370795561790,35.0,47.0,ORDER,BLZ
need assistance with cancelling order 00123842,cancel_order,order_id,00123842,38.0,46.0,ORDER,BQ
i ordered some product cancel purchase 370795561790,cancel_order,order_id,370795561790,39.0,51.0,ORDER,BCLQ
I don'twant order 00123842,cancel_order,order_id,00123842,18.0,26.0,ORDER,BNZ
problem with cancelling purchase 732201349959,cancel_order,order_id,732201349959,33.0,45.0,ORDER,BL
i have a question about canceling order 732201349959,cancel_order,order_id,732201349959,40.0,52.0,ORDER,BQ
i dont know how i can cancel purchase 113542617735902,cancel_order,order_id,113542617735902,38.0,53.0,ORDER,BLQ
i do not know how to cancel order 370795561790,cancel_order,order_id,370795561790,34.0,46.0,ORDER,BEQ
I do not want purchase 732201349959,cancel_order,order_id,732201349959,23.0,35.0,ORDER,BELN
cancel order 00004587345,cancel_order,order_id,00004587345,13.0,24.0,ORDER,BK
i want assistance canceloing purchase 370795561790,cancel_order,order_id,370795561790,38.0,50.0,ORDER,BLQZ
I want help to cancel purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,ORDER,BL
want assistance to cancel order 370795561790,cancel_order,order_id,370795561790,32.0,44.0,ORDER,BQ
can you help me cancelling order 732201349959?,cancel_order,order_id,732201349959,33.0,45.0,ORDER,BI
cancel order 00123842,cancel_order,order_id,00123842,13.0,21.0,ORDER,BK
I need assistance cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,38.0,53.0,ORDER,BL
need help to cancelp order 732201349959,cancel_order,order_id,732201349959,27.0,39.0,ORDER,BQZ
cancel order 732201349959,cancel_order,order_id,732201349959,13.0,25.0,ORDER,BK
I have got to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,30.0,45.0,ORDER,BL
i need help tocancel order 00004587345,cancel_order,order_id,00004587345,27.0,38.0,ORDER,BQZ
assistance cancelling purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,ORDER,BL
help me canceling purchase 113542617735902,cancel_order,order_id,113542617735902,27.0,42.0,ORDER,BL
where do I cancel purchase 00004587345?,cancel_order,order_id,00004587345,27.0,38.0,ORDER,BIL
I want assistance to cancel order 113542617735902,cancel_order,order_id,113542617735902,34.0,49.0,ORDER,B
order cancellation,cancel_order,,,,,ORDER,BK
i try to cancel purchase 00123842,cancel_order,order_id,00123842,25.0,33.0,ORDER,BLQ
help me to cancel order 113542617735902,cancel_order,order_id,113542617735902,24.0,39.0,ORDER,B
need assistance canceling order 370795561790,cancel_order,order_id,370795561790,32.0,44.0,ORDER,BQ
I want assistance to cancel purchase 370795561790,cancel_order,order_id,370795561790,37.0,49.0,ORDER,BL
canceling order 00123842,cancel_order,order_id,00123842,16.0,24.0,ORDER,BK
help me canceling purchase 00123842,cancel_order,order_id,00123842,27.0,35.0,ORDER,BL
need to cancel order 370795561790,cancel_order,order_id,370795561790,21.0,33.0,ORDER,BQ
where can i cancel purchase 00004587345,cancel_order,order_id,00004587345,28.0,39.0,ORDER,BILQ
I have to cancel order 00004587345,cancel_order,order_id,00004587345,23.0,34.0,ORDER,B
i need assistance to cancel purchase 732201349959,cancel_order,order_id,732201349959,37.0,49.0,ORDER,BLQ
I need help canceling purchase 732201349959,cancel_order,order_id,732201349959,31.0,43.0,ORDER,BL
"I cannot afford this item, can I cancel order 00004587345?",cancel_order,order_id,00004587345,46.0,57.0,ORDER,BCEILN
cancel order 113542617735902,cancel_order,order_id,113542617735902,13.0,28.0,ORDER,BK
acnceling order 00123842,cancel_order,order_id,00123842,16.0,24.0,ORDER,BKZ
cancel order  732201349959,cancel_order,order_id,732201349959,14.0,26.0,ORDER,BZ
i dont know how to cancel order 00123842,cancel_order,order_id,00123842,32.0,40.0,ORDER,BQ
i need help to cancel order 370795561790,cancel_order,order_id,370795561790,28.0,40.0,ORDER,BQ
need assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,36.0,48.0,ORDER,BLQ
where can I cancel purchase 370795561790?,cancel_order,order_id,370795561790,28.0,40.0,ORDER,BIL
I need help cancelingpurchase 113542617735902,cancel_order,order_id,113542617735902,30.0,45.0,ORDER,BLZ
need help to delete several items from order 370795561790,change_order,order_id,370795561790,45.0,57.0,ORDER,BLMQ
can  i swap some items of order 732201349959,change_order,order_id,732201349959,32.0,44.0,ORDER,BILMQZ
I want help to update purchase 00004587345,change_order,order_id,00004587345,31.0,42.0,ORDER,BL
change order 00123842,change_order,order_id,00123842,13.0,21.0,ORDER,BK
"I would like to modify order 113542617735902, I need help",change_order,order_id,113542617735902,29.0,44.0,ORDER,BCLP
can i edit order 732201349959,change_order,order_id,732201349959,17.0,29.0,ORDER,BILQ
I can't switch several products of order 00123842,change_order,order_id,00123842,41.0,49.0,ORDER,BLMN
"I need to swap something of purchase 00123842, how to do it?",change_order,order_id,00123842,37.0,45.0,ORDER,BCIL
I need help to swap some items of purchase 370795561790,change_order,order_id,370795561790,43.0,55.0,ORDER,BLM
want assistance deleting  some items from order 370795561790,change_order,order_id,370795561790,48.0,60.0,ORDER,BLMQZ
help switching something of purchase 370795561790,change_order,order_id,370795561790,37.0,49.0,ORDER,BL
i cant remove several items from purchase 00004587345,change_order,order_id,00004587345,42.0,53.0,ORDER,BLMNQ
correcting order 732201349959,change_order,order_id,732201349959,17.0,29.0,ORDER,BL
I don't know what to do to swap an item of order 00123842,change_order,order_id,00123842,49.0,57.0,ORDER,BL
"I want to edit purchase 00123842, could you help me?",change_order,order_id,00123842,24.0,32.0,ORDER,BCILP
add something to order 370795561790,change_order,order_id,370795561790,23.0,35.0,ORDER,BK
updating order 732201349959,change_order,order_id,732201349959,15.0,27.0,ORDER,BL
add some items to order 732201349959,change_order,order_id,732201349959,24.0,36.0,ORDER,BM
I cannot add an articld to order 370795561790,change_order,order_id,370795561790,33.0,45.0,ORDER,BELNZ
I have problems with editing order 732201349959,change_order,order_id,732201349959,35.0,47.0,ORDER,BLM
add something to order 00123842,change_order,order_id,00123842,23.0,31.0,ORDER,BK
could you help me change something of order 370795561790?,change_order,order_id,370795561790,44.0,56.0,ORDER,BIP
how to delete something from order 00004587345?,change_order,order_id,00004587345,35.0,46.0,ORDER,BIL
how to edit order 370795561790,change_order,order_id,370795561790,18.0,30.0,ORDER,BILQ
help me remove a product from purchase 113542617735902,change_order,order_id,113542617735902,39.0,54.0,ORDER,BL
updating purchase 00123842,change_order,order_id,00123842,18.0,26.0,ORDER,BL
need to add several products to order 370795561790,change_order,order_id,370795561790,38.0,50.0,ORDER,BLMQ
help to add an article to order 732201349959,change_order,order_id,732201349959,32.0,44.0,ORDER,BL
assistance with changing order 370795561790,change_order,order_id,370795561790,31.0,43.0,ORDER,B
editing order 00123842,change_order,order_id,00123842,14.0,22.0,ORDER,BL
what do i have to do to change a item of order 370795561790,change_order,order_id,370795561790,47.0,59.0,ORDER,BIQZ
need help to switch an article of purchase 370795561790,change_order,order_id,370795561790,43.0,55.0,ORDER,BLQ
need to update purchase 00004587345,change_order,order_id,00004587345,24.0,35.0,ORDER,BLQ
wanna change an article of purchase 00004587345,change_order,order_id,00004587345,36.0,47.0,ORDER,BLQ
how can i edt order 370795561790,change_order,order_id,370795561790,20.0,32.0,ORDER,BILQZ
correct purchase 113542617735902,change_order,order_id,113542617735902,17.0,32.0,ORDER,BKL
I have to switch a product of order 732201349959,change_order,order_id,732201349959,36.0,48.0,ORDER,BL
add item to order 00123842,change_order,order_id,00123842,18.0,26.0,ORDER,BK
want assistance swapping a article of order 00004587345,change_order,order_id,00004587345,44.0,55.0,ORDER,BLQZ
remove something from order 00123842,change_order,order_id,00123842,28.0,36.0,ORDER,BK
add something to order 732201349959,change_order,order_id,732201349959,23.0,35.0,ORDER,BK
assistance to switch something of purchase 113542617735902,change_order,order_id,113542617735902,43.0,58.0,ORDER,BL
I do not know how I can swap something of purchase 00123842,change_order,order_id,00123842,51.0,59.0,ORDER,BEL
assistance to swap an item of order 113542617735902,change_order,order_id,113542617735902,36.0,51.0,ORDER,BL
I need to add an article to order 370795561790,change_order,order_id,370795561790,34.0,46.0,ORDER,BL
need help with adding something to order 113542617735902,change_order,order_id,113542617735902,41.0,56.0,ORDER,BQ
is it possible to switch some items of order 732201349959?,change_order,order_id,732201349959,45.0,57.0,ORDER,BILM
help me deleting some products from order 113542617735902,change_order,order_id,113542617735902,42.0,57.0,ORDER,BLM
I want assistance to delete something from purchase 00123842,change_order,order_id,00123842,52.0,60.0,ORDER,BL
i have to correct purchase 370795561790,change_order,order_id,370795561790,27.0,39.0,ORDER,BLQ
help me to switch some items of order 370795561790,change_order,order_id,370795561790,38.0,50.0,ORDER,BLM
i missed a product ij order 732201349959 how can i add it,change_order,order_id,732201349959,28.0,40.0,ORDER,BCILQZ
I need information about editing order 370795561790,change_order,order_id,370795561790,39.0,51.0,ORDER,BL
is it possible to remove a product from order 732201349959?,change_order,order_id,732201349959,46.0,58.0,ORDER,BIL
want help switching several products of order 370795561790,change_order,order_id,370795561790,46.0,58.0,ORDER,BLMQ
problem with switching something of order 732201349959,change_order,order_id,732201349959,42.0,54.0,ORDER,BL
need help removing a product from order 00004587345,change_order,order_id,00004587345,40.0,51.0,ORDER,BLQ
I want help to add an item to purchase 732201349959,change_order,order_id,732201349959,39.0,51.0,ORDER,BL
can you help me updating order 113542617735902?,change_order,order_id,113542617735902,31.0,46.0,ORDER,BIL
